1,1,1,TRUE,R,2.384,1.068,1.136,1.241,1.744,1.023,1.104,1.035,1.136,1.332,0.813,2.269,2.307,2.457,2.291
2,2,2,TRUE,R,2.985,1.496,1.274,1.333,2.332,1.803,1.235,0.989,1.013,1.502,0.363,2.751,2.311,2.367,1.669
3,3,3,TRUE,R,2.766,2.723,2.516,1.939,2.167,1.949,2.171,1.405,1.151,1.284,0.215,0.365,1.784,1.956,1.9
4,4,4,TRUE,R,2.89,3.112,3.093,1.525,1.518,1.865,2.279,2.249,1.782,1.712,0.044,0.178,0.431,1.944,1.873
5,5,5,TRUE,R,3.05,3.108,3.085,2.932,1.704,1.937,2.291,2.279,1.817,1.355,0.27,0.17,0.11,0.253,1.06
6,6,6,TRUE,R,3.014,3.029,2.88,2.967,3.024,1.81,2.244,2.291,2.31,2.315,0.315,0.25,0.173,0.121,0.12
7,7,7,TRUE,R,2.005,3.073,2.936,2.98,3.095,1.103,2.268,2.308,2.362,2.326,1.178,0.195,0.11,0.049,0.136
8,8,8,TRUE,R,2.384,1.491,2.995,3.026,2.911,1.418,1.929,2.362,2.258,2.167,0.837,1.701,0.185,0.139,0.28
9,9,9,TRUE,R,2.292,0.912,1.347,2.933,2.946,0.872,1.28,1.454,1.908,2.132,1.007,2.177,1.887,0.299,0.329
10,10,10,TRUE,R,2.233,1.423,1.374,1.163,2.767,0.876,1.503,1.576,1.433,1.954,1.092,2.013,2.18,2.222,0.497
11,11,11,TRUE,R,2.041,3.017,2.994,1.155,1.2,0.796,2.291,2.201,1.376,1.294,1.231,0.315,0.454,2.17,1.977
12,12,12,TRUE,R,2.987,3.026,1.123,1.141,2.148,1.673,2.154,1.418,1.39,1.481,0.338,0.465,2.561,2.45,0.788
13,13,13,TRUE,R,2.322,3.027,1.574,1.616,2.065,1.032,2.172,1.532,1.526,1.804,0.882,0.462,2.264,2.373,2.21
14,14,14,TRUE,R,1.399,3.024,3.079,2.99,1.42,0.534,2.269,2.323,2.19,1.161,1.895,0.288,0.222,0.245,1.157
15,1,1,TRUE,R,2.305,1.091,1.108,1.222,1.718,1.053,1.114,1.024,1.128,1.444,0.898,2.356,2.432,2.485,2.325
16,2,2,TRUE,R,2.88,1.51,1.47,1.323,2.44,1.867,1.388,1.118,1.086,1.352,0.185,2.445,2.247,2.472,2.035
17,3,3,TRUE,R,2.803,2.837,2.171,1.904,2.158,1.947,2.228,1.471,1.198,1.295,0.214,0.279,1.831,1.933,1.977
18,4,4,TRUE,R,2.889,3.071,3.116,1.607,1.646,1.802,2.262,2.126,1.583,1.627,0.1,0.186,0.528,2.091,2.25
19,6,5,FALSE,R,3.054,3.074,3.067,2.44,2.03,1.905,2.295,2.298,1.664,1.699,0.196,0.117,0.08,0.541,1.118
20,6,6,TRUE,R,3.017,3.08,2.959,3.064,3.101,1.926,2.283,2.331,2.338,2.382,0.131,0.185,0.124,0.078,0.028
21,7,7,TRUE,R,2.003,3.118,3.064,3.085,3.03,1.15,2.23,2.276,2.31,2.226,1.153,0.102,0.077,0.054,0.084
22,8,8,TRUE,R,2.517,1.541,3.011,3.002,2.946,1.241,2.006,2.495,2.302,2.148,0.837,1.883,0.153,0.092,0.222
23,9,9,TRUE,R,2.383,0.835,1.162,2.936,2.968,0.905,1.425,1.269,2.024,2.148,0.883,2.347,1.942,0.147,0.199
24,10,10,TRUE,R,2.222,1.51,1.292,1.263,2.717,0.826,1.525,1.362,1.459,1.835,1.191,1.896,1.977,2.05,0.582
25,11,11,TRUE,R,1.991,2.962,2.868,1.289,1.347,0.785,2.277,2.294,1.405,1.368,1.291,0.256,0.293,1.957,1.852
26,3,12,FALSE,R,2.958,3.001,1.054,1.092,1.719,1.737,2.169,1.409,1.393,1.156,0.374,0.417,2.604,2.494,0.758
27,13,13,TRUE,R,2.263,3.042,1.87,1.788,2.126,0.902,2.224,1.734,1.613,1.899,0.953,0.392,2.05,2.237,2.095
28,14,14,TRUE,R,1.757,3.052,3.09,3.058,1.733,0.936,2.236,2.245,2.26,1.358,1.463,0.148,0.108,0.198,0.962
29,1,1,TRUE,R,2.301,1.435,1.369,1.304,1.836,1.084,1.24,1.066,1.067,1.234,0.901,2.061,2.094,2.344,2.209
30,2,2,TRUE,R,2.892,1.629,1.482,1.402,2.486,1.748,1.61,1.14,1.112,1.489,0.306,2.754,2.3,2.438,1.915
31,3,3,TRUE,R,2.773,2.724,2.145,1.644,2.132,1.945,2.221,1.34,1.092,1.238,0.24,0.302,1.817,1.997,1.952
32,4,4,TRUE,R,2.905,3.136,3.075,1.419,1.442,1.847,2.298,2.146,1.608,1.627,0.054,0.248,0.504,2.18,2.262
33,5,5,TRUE,R,3.043,3.132,3.094,3.096,1.804,1.942,2.288,2.27,2.117,1.261,0.313,0.18,0.098,0.078,0.738
34,6,6,TRUE,R,3.009,3.071,2.941,3.018,3.052,1.799,2.221,2.282,2.294,2.324,0.331,0.218,0.141,0.084,0.123
35,7,7,TRUE,R,1.94,3.089,2.965,2.997,3.132,0.931,2.285,2.322,2.452,2.356,1.252,0.169,0.104,0.053,0.109
36,8,8,TRUE,R,2.373,1.375,2.977,3.066,3.008,1.202,1.802,2.323,2.292,2.232,0.917,1.738,0.1,0.058,0.178
37,9,9,TRUE,R,2.346,0.854,1.262,3.029,3.006,0.9,1.295,1.369,2.109,2.115,0.951,2.151,1.816,0.162,0.259
38,10,10,TRUE,R,2.265,1.251,1.295,1.228,2.685,0.923,1.321,1.499,1.52,1.742,1.053,1.913,2.114,2.195,0.529
39,11,11,TRUE,R,2.111,3.01,2.976,1.058,1.105,0.768,2.237,2.187,1.322,1.234,1.178,0.319,0.393,2.265,2.068
40,3,12,FALSE,R,2.978,3.06,1.069,1.065,0.899,1.709,2.248,1.412,1.371,0.794,0.337,0.448,2.593,2.531,1.007
41,13,13,TRUE,R,2.277,2.937,1.847,1.662,2.074,0.997,2.233,1.481,1.351,1.497,0.915,0.384,2.127,2.368,2.197
42,14,14,TRUE,R,2.014,3.138,3.018,2.922,1.938,1.111,2.275,2.24,2.236,1.44,1.187,0.201,0.167,0.192,0.83
43,1,1,TRUE,L,2.479,0.547,0.682,0.597,0.696,1.154,0.591,0.675,0.589,0.667,0.802,2.032,2.104,2.143,1.945
44,2,2,TRUE,L,2.711,0.383,0.817,0.725,0.95,1.939,0.931,0.772,0.73,0.981,0.305,2.71,2.007,2.2,2.041
45,3,3,TRUE,L,2.869,3.056,1.227,1.066,0.992,1.78,2.465,1.119,0.924,0.942,0.119,0.585,2.018,2.022,2.123
46,4,4,TRUE,L,2.841,3.07,3.019,0.964,0.876,1.641,2.328,2.212,1,0.849,0.187,0.481,0.405,2.17,2.112
47,5,5,TRUE,L,2.991,3.101,3.071,3.018,1.26,1.547,2.215,2.205,2.14,1.106,0.288,0.266,0.231,0.282,1.258
48,6,6,TRUE,L,3.011,3.051,3.097,3.113,3.105,1.622,2.184,2.23,2.337,2.358,0.292,0.265,0.196,0.149,0.037
49,7,7,TRUE,L,1.64,2.999,3.063,2.975,3.006,0.55,2.227,2.301,2.455,2.437,1.67,0.226,0.14,0.216,0.202
50,8,8,TRUE,L,2.533,1.558,2.824,2.798,2.827,1.006,1.669,2.469,2.359,2.313,0.82,2.103,0.54,0.37,0.448
51,9,9,TRUE,L,2.385,0.757,1.136,2.651,2.874,0.699,0.998,1.328,1.903,2.185,1.057,2.301,2.18,0.641,0.266
52,10,10,TRUE,L,2.358,0.851,1.119,0.972,2.718,1.006,0.955,1.326,1.142,2.117,1.047,2.167,2.285,2.288,0.826
53,11,11,TRUE,L,2.336,2.923,2.934,0.989,1.223,0.891,2.26,2.236,1.113,1.261,1.006,0.247,0.438,2.153,2.05
54,12,12,TRUE,L,2.976,3.109,0.838,0.876,2.713,1.579,2.36,1.28,1.145,1.987,0.438,0.437,2.616,2.453,0.755
55,13,13,TRUE,L,2.386,3.13,1.315,1.302,1.168,1.016,2.298,1.418,1.416,1.394,0.862,0.506,2.194,2.257,2.231
56,7,14,FALSE,L,1.819,3.113,3.056,3.055,2.247,0.573,2.249,2.271,2.295,1.498,1.443,0.242,0.147,0.187,0.575
57,1,1,TRUE,L,2.347,0.51,0.688,0.636,0.795,1.061,0.776,0.669,0.636,0.759,0.956,2.491,2.252,2.394,2.203
58,2,2,TRUE,L,2.816,0.51,0.899,0.866,1.146,1.93,1.196,0.856,0.874,1.188,0.175,2.703,2.178,2.356,2.165
59,3,3,TRUE,L,2.922,3.043,1.156,1.047,1.108,1.795,2.456,1.065,0.914,0.991,0.043,0.554,2.097,2.096,2.054
60,4,4,TRUE,L,2.841,3.068,2.974,0.738,0.643,1.688,2.417,2.155,0.768,0.622,0.19,0.504,0.527,2.261,2.165
61,5,5,TRUE,L,2.998,3.106,3.053,3.07,1.624,1.607,2.292,2.35,2.145,1.51,0.236,0.362,0.266,0.458,1.484
62,6,6,TRUE,L,3.042,3.096,3.113,3.093,3.093,1.701,2.207,2.271,2.327,2.399,0.236,0.262,0.173,0.154,0.081
63,7,7,TRUE,L,1.475,2.996,3.049,2.936,2.964,0.497,2.283,2.303,2.443,2.487,1.866,0.217,0.164,0.237,0.209
64,8,8,TRUE,L,2.372,1.456,2.943,2.865,2.896,0.918,1.539,2.414,2.327,2.349,0.968,2.014,0.432,0.263,0.361
65,9,9,TRUE,L,2.325,0.911,1.186,2.574,2.812,0.698,1.036,1.3,1.758,2.175,1.116,2.097,2.133,0.683,0.605
66,10,10,TRUE,L,2.489,0.905,1.087,0.999,2.648,1.12,0.99,1.263,1.229,2.036,0.908,2.153,2.297,2.406,0.922
67,11,11,TRUE,L,2.141,2.902,2.993,0.989,1.112,0.869,2.11,2.346,1.167,1.186,1.192,0.35,0.454,2.258,2.134
68,12,12,TRUE,L,2.964,3.04,0.862,0.894,2.228,1.575,2.358,1.222,1.189,1.566,0.447,0.477,2.547,2.491,1.015
69,13,13,TRUE,L,2.247,3.08,1.47,1.471,1.521,0.922,2.215,1.533,1.496,1.592,0.96,0.344,1.954,1.975,1.792
70,14,14,TRUE,L,1.857,3.078,3.086,3.11,1.675,0.624,2.235,2.325,2.294,1.244,1.409,0.142,0.07,0.181,0.83
71,1,1,TRUE,L,2.569,0.409,0.612,0.622,0.653,1.239,0.73,0.627,0.709,0.877,0.723,2.665,2.449,2.545,2.718
72,2,2,TRUE,L,2.921,0.364,0.847,0.831,1.071,1.944,0.806,0.765,0.77,1.059,0.041,2.765,1.954,2.063,1.984
73,3,3,TRUE,L,2.973,3.01,1.134,1.076,1.213,1.854,2.362,1.052,0.933,1.09,0.025,0.551,2.145,2.096,2.026
74,4,4,TRUE,L,2.898,3.098,2.979,0.827,0.725,1.702,2.427,2.158,0.859,0.712,0.188,0.447,0.501,2.201,2.215
75,5,5,TRUE,L,3.061,3.101,3.053,3.076,1.347,1.677,2.268,2.327,2.108,1.439,0.225,0.297,0.197,0.325,1.675
76,6,6,TRUE,L,3.047,3.113,3.114,3.039,3.045,1.777,2.184,2.217,2.279,2.351,0.261,0.218,0.174,0.158,0.127
77,7,7,TRUE,L,1.723,2.995,3.08,2.972,3.009,0.58,2.284,2.353,2.456,2.496,1.614,0.196,0.141,0.244,0.223
78,8,8,TRUE,L,2.476,1.455,2.908,2.82,2.891,0.947,1.569,2.473,2.352,2.333,0.883,2.072,0.474,0.275,0.42
79,9,9,TRUE,L,2.346,0.873,1.14,2.55,2.767,0.712,1.027,1.258,1.751,2.173,1.094,2.166,2.149,0.671,0.607
80,10,10,TRUE,L,2.419,0.783,0.993,0.965,2.566,1.051,0.88,1.117,1.155,1.947,0.981,2.202,2.23,2.32,0.915
81,11,11,TRUE,L,2.174,2.935,3.024,0.882,1.212,0.832,2.258,2.258,0.996,1.222,1.255,0.334,0.442,2.154,2.047
82,12,12,TRUE,L,2.863,3.073,0.771,0.916,2.461,1.567,2.393,1.104,1.123,1.767,0.549,0.467,2.553,2.415,0.957
83,13,13,TRUE,L,2.33,3.115,1.207,1.141,1.063,1.095,2.434,1.436,1.308,1.18,0.921,0.41,2.205,2.156,2.015
84,7,14,FALSE,L,1.548,3.078,3.058,3.044,2.271,0.526,2.239,2.315,2.304,1.593,1.716,0.157,0.083,0.221,0.652
